q	gloss	clean	qtmplt	atmplt	ptag	ntag	count
would you feel this emotion if you did something stupid?	situation(e,doSomethingStupid)	would you feel this emotion if you did something stupid	would {experiencer:you} feel {e:this emotion} if {situation:{experiencer:you} did something stupid}	you would feel {e:this emotion} if you did something stupid	NULL	NULL	1
Okay, would you feel this emotion if you did something stupid?	situation(e,doSomethingStupid)	okay would you feel this emotion if you did something stupid	{interjection:okay} would {experiencer:you} feel {e:this emotion} if {situation:{experiencer:you} did something stupid}	you would feel {e:this emotion} if you did something stupid	NULL	NULL	1
is this an emotion associated with good karma?	associated(e,goodKarma)	is this an emotion associated with good karma	is {e:this} an emotion associated with good karma	{e:this} is an emotion associated with good karma	NULL	NULL	1
is it associated with bad karma?	associated(e,badKarma)	is it associated with bad karma	is {e:it} associated with bad karma	{e:it} is associated with bad karma	NULL	NULL	1
if you had to give the emotion a color from red to blue, would it be closer to red?	similarity(e,red)>similarity(e,blue)	if you had to give the emotion a color from red to blue would it be closer to red	if you had to give {e:the emotion} a color from red to blue would {e:it} be closer to red	if you had to give {e:the emotion} a color from red to blue it would be closer to red	NULL	NULL	1
hmmm.... would you feel this at disneyland?	situation(e,atDisney)	hmmm would you feel this at disneyland	{hesitation:hmmm} would {experiencer:you} feel {e:this} at {situation:disneyland}	you would feel {e:this} at disneyland	NULL	NULL	1
How about standing in line at the grocery store?	situation(e,waitingInLine)	how about standing in line at the grocery store	how about {situation:standing in line at the grocery store}	you would feel {e:this} standing in line at the grocery store	NULL	NULL	1
Then when something goes well?	situation(e,somethingGoesWell)	then when something goes well	{interjection:then} {situation:when something goes well}	you would feel {e:this} when something goes well	NULL	NULL	1
is it like satisfaction?\n(Am i allowed to ask that?)	similar(e,satisfaction)	is it like satisfaction am i allowed to ask that	is {e:it} like {emotion:satisfaction} {comment:am i allowed to ask that}	{e:it} is like satisfaction	NULL	NULL	1
ok, do you feel it when you've made a great accomplishment?	situation(e,greatAccomplishment)	ok do you feel it when you have made a great accomplishment	{interjection:ok} do {experiencer:you} feel {e:it} when {situation:{experiencer:you} have made a great accomplishment}	you feel {e:it} when you have made a great accomplishment	NULL	NULL	1
how about when something good happens, just by chance	situation(e,somethingGoodHappensByChance)	how about when something good happens just by chance	how about when {situation:something good happens just by chance}	you feel {e:it} when something good happens just by chance	NULL	NULL	1
Do you feel it when something goes wrong?	situation(e,somethingGoesWrong)	do you feel it when something goes wrong	do {experiencer:you} feel {e:it} when {situation:something goes wrong}	you feel {e:it} when something goes wrong	NULL	NULL	1
Is the something that goes wrong related to another person?	e&&assocated(somethingGoesWrong,otherPerson)	is the something that goes wrong related to another person	is {ref:the something that goes wrong} related to another person		NULL	NULL	1
So, when you feel bad due to this emotion, do you direct the bad feelings at yourself?	directed(e,self)				NULL	NULL	1
is it embarrassment?	e==embarrassment	is it embarrassment	is {e:it} {emotion:embarrassment}	NULL	NULL	NULL	1
how about guilt?	e==guilt	how about guilt	how about {emotoin:guilt}	NULL	NULL	NULL	1
is it depression?	e==depression	is it depression	is {e:it} {emotion:depression}	NULL	NULL	NULL	1
is it an emotion that lasts a long time?	e.duration==long	is it an emotion that lasts a long time	is {e:it} an emotion that lasts a {duration:long} time	{e:it} is an emotion that lasts a long time	NULL	NULL	2
can it also be directed at another person?	directed(e,otherPerson)	can it also be directed at another person	can {e:it} {ref:also} be directed at {beneficiary:another person}	{e:it} can be directed at another person	NULL	NULL	1
would you say it's a strong emotion?	e.activation==high	would you say it is a strong emotion	{modal:would you say} {e:it} is a strong emotion	you would say {e:it} is a strong emotion	NULL	NULL	1
is it stronger than being stressed out?	e.activation>stressedOut.activation	is it stronger than being stressed out	is {e:it} stronger than {emotion:being stressed out}	{e:it} is stronger than being stressed out	NULL	NULL	1
is it close to being stressed out?	similar(e,stressedOut)	is it close to being stressed out	is {e:it} close to {emotion:being stressed out}	{e:it} is close to being stressed out	NULL	NULL	1
is it "stressed out"\n?	e==stressedOut	is it stressed out	is {e:it} {emotion:stressed out}	NULL	NULL	NULL	1
(I think that's number 16  =-O )\nanxious?	e==anxiety	(I think that's number 16 =-O ) anxious	{comment:(I think that's number {qnum:16}  {emoticon:=-O} )} {emotion:anxious}	NULL	NULL	NULL	1
ok, is it a good feeling?	e.valence==positive	ok is it a good feeling	{interjection:ok} is {e:it} a good feeling	{e:it} is a good feeling	NULL	NULL	1
can it be caused by other people disappointing you?	cause(e,disappointmentByOtherPeople)	can it be caused by other people disappointing you	can {e:it} {caused-by:be caused by} {situation:other people disappointing {experiencer:you}}	{e:it} can be caused by other people disappointing you	NULL	NULL	1
can it also be caused by disappointment in yourself?	cause(e,disappointmentInSelf)	can it also be caused by disappointment in yourself	can {e:it} {ref:also} {caused-by:be caused by} {situation:{emotion:disappointment} in {experiencer:yourself}}	{e:it} can be caused by disappointment in yourself	NULL	NULL	1
when you feel this emotion, is it associated with blame on others or yourself?	associated(e,blame)	when you feel this emotion is it associated with blame on others or yourself	{explanation:when {experiencer:you} feel {e:this emotion}} is {e:it} associated with blame on others or {experiencer:yourself}	when you feel {e:this emotion} {e:it} is associated with blame on others or yourself	NULL	NULL	1
is it anger?	e==anger	is it anger	is {e:it} {emotion:anger}	NULL	NULL	NULL	3
on a scale of red to blue, would the emotion be red?\n(if that makes sense to you...)	similarity(e,red)>similarity(e,blue)	on a scale of red to blue would the emotion be red if that makes sense to you	on a scale of red to blue would {e:the emotion} be red {comment:if that makes sense to you}	on a scale of red to blue {e:the emotion} would be red if that makes sense to you	NULL	NULL	1
is it an emotion that you feel regularly?	e.frequency==regularly	is it an emotion that you feel regularly	is {e:it} an emotion that {experiencer:you} feel {frequency:regularly}	{e:it} is an emotion that you feel regularly	NULL	NULL	1
is it a negative emotion?	e.valence==negative	is it a negative emotion	is {e:it} a negative emotion	{e:it} is a negative emotion	NULL	NULL	2
hmm, is it confused?	e==confusion	hmm is it confused	{interjection:hmm} is {e:it} {emotion:confused}	NULL	NULL	NULL	1
is it an emotion that can just pop up spontaneously (as opposed to being caused by something)?	cause(emptySet,e)	is it an emotion that can just pop up spontaneously as opposed to being caused by something	is {e:it} an emotion that can just pop up spontaneously {clarification:as opposed to {caused-by:being caused by} something}	{e:it} is an emotion that can just pop up spontaneously as opposed to being caused by something	NULL	NULL	1
is it shy?	e==shyness	is it shy	is {e:it} {emotion:shy}	NULL	NULL	NULL	1
bored?	e==bored	bored	{emotion:bored}	NULL	NULL	NULL	1
restless?	e==restless	restless	{emotion:restless}	NULL	NULL	NULL	1
is it an emotion that you can feel for long durations?	e.duration==long	is it an emotion that you can feel for long durations	is {e:it} an emotion that {experiencer:you} can feel for {duration:long} durations	{e:it} is an emotion that you can feel for long durations	NULL	NULL	1
ok, is it a neutral emotion?	e.valence==neutral	ok is it a neutral emotion	{interjection:ok} is {e:it} a neutral emotion	{e:it} is a neutral emotion	NULL	NULL	1
is an intense emotion?	e.activation==high	is it an intense emotion	is {e:it} an intense emotion	{e:it} is an intense emotion	NULL	NULL	1
can it be spontaneous?	cause(emptySet,e)	can it be spontaneous	can {e:it} be spontaneous	{e:it} can be spontaneous	NULL	NULL	1
can it be caused by a great accomplishment?	cause(greatAccomplishment,e)	can it be caused by a great accomplishment	can {e:it} {caused-by:be caused by} {situation:a great accomplishment}	{e:it} can be caused by a great accomplishment	NULL	NULL	1
can be caused only by another person	only(cause(otherPerson,e))	can it be caused only by another person	can {e:it} {caused-by:be caused {modal:only} by} another person	{e:it} can be caused only by another person	NULL	NULL	1
when you feel this emotion, can other emotions be felt too?	assocated(e,otherEmotions)	when you feel this emotion can other emotions be felt too	when {experiencer:you} feel {e:this emotion} can other emotions be felt too	when you feel {e:this emotion} other emotions can be felt too	NULL	NULL	1
can one of those other emotions be happiness?	associated(e,happiness)				NULL	NULL	1
is it enthusiastic?	e==enthusiasm	is it enthusiastic	is {e:it} {emotion:enthusiastic}	NULL	NULL	NULL	1
is it relief?	e==relief	is it relief	is {e:it} {emotion:relief}	NULL	NULL	NULL	2
is it excitement?	e==excitement	is it excitement	is {e:it} {emotion:excitement}	NULL	NULL	NULL	1
is it anticipation?	e==anticipation	is it anticipation	is {e:it} {emotion:anticipation}	NULL	NULL	NULL	1
is it eager?	e==eagerness	is it eager	is {e:it} {emotion:eager}	NULL	NULL	NULL	1
hmmm, is it more intense than eager?	e.activation>eager.activation	hmmm is it more intense than eager	{hesitation:hmmm} is {e:it} more intense than {emotion:eager}	{e:it} is more intense than eager	NULL	NULL	1
is it hopeful?	e==hopeful	is it hopeful	is {e:it} {emotion:hopeful}	NULL	NULL	NULL	1
ok, is it a positive emotion?	e.valence==positive	ok is it a positive emotion	{interjection:ok} is {e:it} a positive emotion	NULL	NULL	NULL	5
is it a neutral emotion?	e.valence==neutral	is it a neutral emotion	is {e:it} a neutral emotion	NULL	NULL	NULL	1
can the emotion be associated with happiness?	associated(e,happiness)	can the emotion be associated with happiness	can {e:the emotion} be associated with {emotion:happiness}	{e:the emotion} can be associated with happiness	NULL	NULL	1
does the emotion happen after something good happens?	situation(e,afterSomethingGoodHappens)	does the emotion happen after something good happens	does {e:the emotion} happen after {situation:something good happens}	{e:the emotion} happens after something good happens 	NULL	NULL	1
